0_lat,0_location,0_lon,demographics-life_ex,demographics-median_inc,demographics-pct_50plus,demographics-pct_65plus,demographics-pct_africa,demographics-pct_asian,demographics-pct_disabi,demographics-pct_hispan,demographics-pct_povert,demographics-total_popu,engagement-broadband cost and speed,"engagement-cultural, arts, and entertainment institutions",engagement-opportunity for civic involvement,engagement-social involvement index,environment-air quality index,environment-drinking water quality,environment-local industrial pollution,environment-near-roadway pollution,health-access to exercise opportunities,health-health professional shortage areas,health-obesity prevalence,health-preventable hospitalization rate,health-tobacco use,livability-engagement,livability-environment,livability-health,livability-housing,livability-neighborhood,livability-opportunity,livability-transportation,neighborhood-access to grocery stores,neighborhood-access to libraries,neighborhood-access to parks,neighborhood-activity density,neighborhood-automobile accessibility,neighborhood-crime rates,neighborhood-diversity of destinations,neighborhood-transit accessibility,neighborhood-vacancy rate,opportunity-age diversity,opportunity-high school graduation rate,opportunity-income inequality,opportunity-jobs/worker,transportation-ADA-accessible stations and vehicles,transportation-congestion,transportation-crash rates,transportation-frequency of local transit service,transportation-household transportation costs,transportation-speed limits,transportation-walk trips
42.3504906,"Chinatown - Leather District, Boston, MA",-71.05794809999999,79,144219,21,4,0,31,12,4,13,658,17.400 percent,0.087 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.0000000084800000000000000000 air toxicity index,86.500 percent,99.600 percent,0.000 priority score,16.800 percent,"49.930 discharges / 1,000 Medicare enrollees",12.700 percent,49,27,78,49,75,45,74,36.000 stores and markets,0.000 libraries,6.000 parks,14672.000 jobs + people / sq. mi.,299025.000 jobs,"357.000 crimes / 10,000 people",0.894 diversity score (0-1 scale),131794.000 jobs,24.900 percent,0.934 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.619 fatal crashes,330.000 buses and trains,9646.000 dollars,34.260 miles per hour,1.060 trips
42.3442847,"Columbus, Boston, MA",-71.0772616,79,92396,35,9,28,8,12,13,11,1188,32.500 percent,0.083 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,99.600 percent,0.000 priority score,21.500 percent,"49.930 discharges / 1,000 Medicare enrollees",13.900 percent,50,82,73,56,88,41,100,19.000 stores and markets,1.000 libraries,9.000 parks,48218.000 jobs + people / sq. mi.,223122.000 jobs,"357.000 crimes / 10,000 people",0.935 diversity score (0-1 scale),93558.000 jobs,3.200 percent,0.883 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.605 fatal crashes,271.000 buses and trains,8192.000 dollars,25.870 miles per hour,2.880 trips
42.340677,"D Street - West Broadway, Boston, MA",-71.04859309999999,79,81627,23,7,1,4,12,4,4,2009,36.400 percent,0.094 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.00148580000000000000 air toxicity index,20.000 percent,99.600 percent,0.000 priority score,17.100 percent,"49.930 discharges / 1,000 Medicare enrollees",11.600 percent,51,61,79,45,63,30,72,3.000 stores and markets,0.000 libraries,0.000 parks,11269.000 jobs + people / sq. mi.,239366.000 jobs,"357.000 crimes / 10,000 people",0.831 diversity score (0-1 scale),47301.000 jobs,10.300 percent,0.706 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.656 fatal crashes,15.000 buses and trains,9644.000 dollars,29.310 miles per hour,1.250 trips
42.3967172,"Davis Square, Boston, MA",-71.1223151,81,107727,26,8,1,1,9,2,11,969,100.000 percent,0.090 institutions,6.510 organizations,0.974 involvement index,0.333 days,11.300 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,96.600 percent,0.000 priority score,19.400 percent,"55.727 discharges / 1,000 Medicare enrollees",11.200 percent,64,63,69,42,83,46,82,9.000 stores and markets,1.000 libraries,2.000 parks,27565.000 jobs + people / sq. mi.,146286.000 jobs,"160.000 crimes / 10,000 people",0.824 diversity score (0-1 scale),56842.000 jobs,5.200 percent,0.736 relative diversity,81.000 percent,0.473 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.259 fatal crashes,281.000 buses and trains,10336.000 dollars,25.950 miles per hour,1.270 trips
42.3557089,"Downtown Boston, Boston, MA",-71.05720529999999,79,96115,41,1,15,48,12,3,0,485,47.000 percent,0.086 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.0000000000000000000000000000 air toxicity index,51.700 percent,99.600 percent,0.000 priority score,16.800 percent,"49.930 discharges / 1,000 Medicare enrollees",12.700 percent,52,60,78,31,74,31,85,40.000 stores and markets,0.000 libraries,8.000 parks,36625.000 jobs + people / sq. mi.,338287.000 jobs,"357.000 crimes / 10,000 people",0.846 diversity score (0-1 scale),126707.000 jobs,51.000 percent,0.726 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.546 fatal crashes,462.000 buses and trains,13820.000 dollars,29.110 miles per hour,6.380 trips
42.37021370000001,"East Boston, Boston, MA",-71.0388601,79,71250,26,1,9,2,12,66,10,495,63.100 percent,0.095 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.0000000000000000000000000000 air toxicity index,55.800 percent,99.600 percent,0.000 priority score,30.900 percent,"49.930 discharges / 1,000 Medicare enrollees",25.300 percent,54,59,58,61,81,23,92,33.000 stores and markets,1.000 libraries,5.000 parks,28388.000 jobs + people / sq. mi.,195403.000 jobs,"357.000 crimes / 10,000 people",0.607 diversity score (0-1 scale),65538.000 jobs,10.800 percent,0.551 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.410 fatal crashes,162.000 buses and trains,9085.000 dollars,26.270 miles per hour,1.990 trips
42.3686043,"East Cambridge, Boston, MA",-71.07739389999999,81,87639,46,19,5,11,9,6,7,1405,51.100 percent,0.082 institutions,6.510 organizations,0.974 involvement index,0.333 days,11.300 percent,0.000071050000000000000000 air toxicity index,80.400 percent,96.600 percent,0.000 priority score,20.100 percent,"33.879 discharges / 1,000 Medicare enrollees",11.400 percent,58,33,74,46,80,56,85,1.000 stores and markets,1.000 libraries,5.000 parks,23251.000 jobs + people / sq. mi.,243070.000 jobs,"160.000 crimes / 10,000 people",0.775 diversity score (0-1 scale),58654.000 jobs,15.200 percent,0.747 relative diversity,92.000 percent,0.473 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.477 fatal crashes,109.000 buses and trains,9657.000 dollars,27.340 miles per hour,1.820 trips
42.3368621,"Harrison Lenox, Boston, MA",-71.0720619,79,21250,37,27,22,31,12,7,30,1308,59.600 percent,0.085 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.0000000000000000000000000000 air toxicity index,10.000 percent,99.600 percent,0.000 priority score,23.300 percent,"49.930 discharges / 1,000 Medicare enrollees",16.200 percent,53,69,70,58,87,33,92,17.000 stores and markets,1.000 libraries,9.000 parks,41022.000 jobs + people / sq. mi.,238809.000 jobs,"357.000 crimes / 10,000 people",0.914 diversity score (0-1 scale),93699.000 jobs,4.400 percent,0.767 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.576 fatal crashes,351.000 buses and trains,8252.000 dollars,25.000 miles per hour,1.360 trips
42.4250964,"Malden, Boston, MA",-71.066163,81,21000,23,14,2,31,9,2,33,741,40.500 percent,0.113 institutions,6.510 organizations,0.974 involvement index,0.333 days,11.300 percent,0.000000095560000000000000 air toxicity index,0.000 percent,96.600 percent,0.000 priority score,22.200 percent,"65.184 discharges / 1,000 Medicare enrollees",15.800 percent,57,28,60,59,84,52,75,15.000 stores and markets,1.000 libraries,5.000 parks,12183.000 jobs + people / sq. mi.,147510.000 jobs,"160.000 crimes / 10,000 people",0.835 diversity score (0-1 scale),40756.000 jobs,8.300 percent,0.837 relative diversity,80.000 percent,0.473 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.508 fatal crashes,174.000 buses and trains,10272.000 dollars,26.750 miles per hour,0.900 trips
42.3723884,"Mid-Cambridge, Boston, MA",-71.1062302,81,108846,30,7,0,4,9,4,5,2035,0.000 percent,0.081 institutions,6.510 organizations,0.974 involvement index,0.333 days,11.300 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,96.600 percent,0.000 priority score,21.000 percent,"33.879 discharges / 1,000 Medicare enrollees",11.200 percent,46,63,74,44,85,64,77,12.000 stores and markets,1.000 libraries,3.000 parks,51813.000 jobs + people / sq. mi.,151696.000 jobs,"160.000 crimes / 10,000 people",0.785 diversity score (0-1 scale),51081.000 jobs,6.400 percent,0.873 relative diversity,92.000 percent,0.473 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.253 fatal crashes,126.000 buses and trains,9833.000 dollars,25.840 miles per hour,0.950 trips
42.329617,"Mission Hill, Boston, MA",-71.1062302,79,55833,17,9,10,9,12,14,35,1656,0.000 percent,0.084 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,99.600 percent,0.000 priority score,21.000 percent,"49.930 discharges / 1,000 Medicare enrollees",14.600 percent,40,82,73,56,81,34,70,14.000 stores and markets,1.000 libraries,8.000 parks,32754.000 jobs + people / sq. mi.,148581.000 jobs,"357.000 crimes / 10,000 people",0.520 diversity score (0-1 scale),41762.000 jobs,3.400 percent,0.787 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.630 fatal crashes,30.333 buses and trains,9975.000 dollars,25.180 miles per hour,0.680 trips
42.3863884,"Neighborhood Nine, Boston, MA",-71.1269712,81,61151,27,10,42,13,9,2,18,2250,37.700 percent,0.090 institutions,6.510 organizations,0.974 involvement index,0.333 days,11.300 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,96.600 percent,0.000 priority score,23.000 percent,"33.879 discharges / 1,000 Medicare enrollees",11.100 percent,58,63,72,57,90,56,57,5.000 stores and markets,1.000 libraries,6.000 parks,24571.000 jobs + people / sq. mi.,130387.000 jobs,"160.000 crimes / 10,000 people",0.919 diversity score (0-1 scale),34289.000 jobs,0.000 percent,0.737 relative diversity,92.000 percent,0.473 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.375 fatal crashes,0.000 buses and trains,13820.000 dollars,25.000 miles per hour,1.190 trips
42.3300503,"Newton Center, Boston, MA",-71.1948255,81,116786,39,12,3,11,9,4,14,1626,96.200 percent,0.137 institutions,6.510 organizations,0.974 involvement index,0.333 days,11.300 percent,0.0000000000000000000000000000 air toxicity index,22.200 percent,96.600 percent,0.000 priority score,20.200 percent,"49.930 discharges / 1,000 Medicare enrollees",9.100 percent,66,47,76,30,69,80,55,0.000 stores and markets,0.000 libraries,2.000 parks,8227.000 jobs + people / sq. mi.,159548.000 jobs,"160.000 crimes / 10,000 people",0.829 diversity score (0-1 scale),19575.000 jobs,1.700 percent,0.967 relative diversity,97.000 percent,0.473 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,1.995 fatal crashes,1.667 buses and trains,12692.000 dollars,27.110 miles per hour,0.720 trips
42.3933869,"North Cambridge, Boston, MA",-71.1308572,81,89357,38,11,2,6,9,8,0,1031,3.500 percent,0.090 institutions,6.510 organizations,0.974 involvement index,0.333 days,11.300 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,96.600 percent,0.000 priority score,20.400 percent,"33.879 discharges / 1,000 Medicare enrollees",10.500 percent,52,63,75,39,86,63,80,11.000 stores and markets,1.000 libraries,5.000 parks,17275.000 jobs + people / sq. mi.,116513.000 jobs,"160.000 crimes / 10,000 people",0.925 diversity score (0-1 scale),47376.000 jobs,2.500 percent,0.862 relative diversity,92.000 percent,0.473 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.377 fatal crashes,147.000 buses and trains,10395.000 dollars,25.000 miles per hour,1.190 trips
42.3647024,"North End, Boston, MA",-71.0542339,79,70234,18,10,1,5,12,1,6,1471,0.000 percent,0.086 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.0000000000000000000000000000 air toxicity index,64.100 percent,99.600 percent,0.000 priority score,17.700 percent,"49.930 discharges / 1,000 Medicare enrollees",13.600 percent,40,58,77,50,86,28,100,14.000 stores and markets,1.000 libraries,14.000 parks,78248.000 jobs + people / sq. mi.,224598.000 jobs,"357.000 crimes / 10,000 people",0.809 diversity score (0-1 scale),77955.000 jobs,9.100 percent,0.670 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.586 fatal crashes,77.333 buses and trains,7416.000 dollars,26.380 miles per hour,12.850 trips
42.3529759,"Oak Square, Boston, MA",-71.159705,79,90000,36,8,0,2,12,5,13,650,100.000 percent,0.093 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,99.600 percent,0.000 priority score,21.200 percent,"49.930 discharges / 1,000 Medicare enrollees",17.700 percent,59,82,70,37,85,43,77,5.000 stores and markets,1.000 libraries,9.000 parks,18566.000 jobs + people / sq. mi.,140469.000 jobs,"357.000 crimes / 10,000 people",0.706 diversity score (0-1 scale),28223.000 jobs,0.000 percent,0.911 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,1.959 fatal crashes,32.000 buses and trains,10878.000 dollars,26.500 miles per hour,1.350 trips
42.3471679,"Prudential - St. Botolph, Boston, MA",-71.0802329,79,87917,42,24,2,6,12,2,12,1450,61.600 percent,0.081 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.0000000000000000000000000000 air toxicity index,91.600 percent,99.600 percent,0.000 priority score,18.200 percent,"49.930 discharges / 1,000 Medicare enrollees",10.600 percent,53,52,79,46,83,34,87,15.000 stores and markets,1.000 libraries,3.000 parks,89652.000 jobs + people / sq. mi.,259726.000 jobs,"357.000 crimes / 10,000 people",0.914 diversity score (0-1 scale),109581.000 jobs,17.200 percent,0.782 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.640 fatal crashes,417.000 buses and trains,8620.000 dollars,32.380 miles per hour,1.710 trips
42.2528772,"Quincy, Boston, MA",-71.0022705,81,63875,20,3,4,38,10,4,2,1254,0.000 percent,0.218 institutions,6.732 organizations,0.974 involvement index,2.333 days,8.200 percent,0.0000000000000000000000000000 air toxicity index,26.900 percent,95.700 percent,0.000 priority score,21.100 percent,"56.542 discharges / 1,000 Medicare enrollees",15.600 percent,55,41,63,50,82,54,71,8.000 stores and markets,1.000 libraries,3.000 parks,26265.000 jobs + people / sq. mi.,114215.000 jobs,"140.000 crimes / 10,000 people",0.828 diversity score (0-1 scale),33399.000 jobs,14.300 percent,0.771 relative diversity,90.000 percent,0.475 coefficient,0.873 jobs / worker,78.300 percent,34.683 hours,4.906 fatal crashes,239.000 buses and trains,10594.000 dollars,26.390 miles per hour,0.860 trips
42.3151978,"Roxbury, Boston, MA",-71.0913748,79,50698,33,1,46,0,12,41,41,391,0.000 percent,0.089 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,99.600 percent,0.000 priority score,35.700 percent,"49.930 discharges / 1,000 Medicare enrollees",21.400 percent,41,82,58,91,84,44,88,11.000 stores and markets,1.000 libraries,3.000 parks,23062.000 jobs + people / sq. mi.,113796.000 jobs,"357.000 crimes / 10,000 people",0.728 diversity score (0-1 scale),33324.000 jobs,0.000 percent,0.920 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.700 fatal crashes,163.000 buses and trains,9781.000 dollars,25.000 miles per hour,1.660 trips
42.3462441,"Seaport District, Boston, MA",-71.04211,79,81627,23,7,1,4,12,4,4,2009,36.400 percent,0.094 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.00148580000000000000 air toxicity index,20.000 percent,99.600 percent,0.000 priority score,17.100 percent,"49.930 discharges / 1,000 Medicare enrollees",11.600 percent,51,61,79,45,63,30,72,3.000 stores and markets,0.000 libraries,0.000 parks,11269.000 jobs + people / sq. mi.,239366.000 jobs,"357.000 crimes / 10,000 people",0.831 diversity score (0-1 scale),47301.000 jobs,10.300 percent,0.706 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.656 fatal crashes,15.000 buses and trains,9644.000 dollars,29.310 miles per hour,1.250 trips
42.3432703,"Shawmut, Boston, MA",-71.0713191,79,145865,26,7,4,30,12,2,6,1787,62.700 percent,0.085 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,99.600 percent,0.000 priority score,21.200 percent,"49.930 discharges / 1,000 Medicare enrollees",14.200 percent,53,82,73,73,86,40,100,18.000 stores and markets,1.000 libraries,9.000 parks,58614.000 jobs + people / sq. mi.,236080.000 jobs,"357.000 crimes / 10,000 people",0.925 diversity score (0-1 scale),99344.000 jobs,12.700 percent,0.879 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.635 fatal crashes,237.000 buses and trains,8184.000 dollars,26.330 miles per hour,2.680 trips
42.3875968,"Somerville, Boston, MA",-71.0994968,81,49031,23,8,6,15,9,9,26,1199,100.000 percent,0.085 institutions,6.510 organizations,0.974 involvement index,0.333 days,11.300 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,96.600 percent,0.000 priority score,22.100 percent,"55.727 discharges / 1,000 Medicare enrollees",14.100 percent,63,63,64,48,87,47,80,11.000 stores and markets,1.000 libraries,5.000 parks,33090.000 jobs + people / sq. mi.,169257.000 jobs,"160.000 crimes / 10,000 people",0.791 diversity score (0-1 scale),43596.000 jobs,1.600 percent,0.744 relative diversity,81.000 percent,0.473 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.357 fatal crashes,147.000 buses and trains,9634.000 dollars,25.800 miles per hour,1.110 trips
42.3381437,"South Boston, Boston, MA",-71.0475773,79,81627,23,7,1,4,12,4,4,2009,36.400 percent,0.094 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.00148580000000000000 air toxicity index,20.000 percent,99.600 percent,0.000 priority score,17.100 percent,"49.930 discharges / 1,000 Medicare enrollees",11.600 percent,51,61,79,45,63,30,72,3.000 stores and markets,0.000 libraries,0.000 parks,11269.000 jobs + people / sq. mi.,239366.000 jobs,"357.000 crimes / 10,000 people",0.831 diversity score (0-1 scale),47301.000 jobs,10.300 percent,0.706 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.656 fatal crashes,15.000 buses and trains,9644.000 dollars,29.310 miles per hour,1.250 trips
